LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
15,MIZORAM,262,CHAMPHAI,796321.0,07/07/2021,RSP Enterprise,"2nd Floor, H/No E-43, LIANDAWLA RUN, VENGTHLANG NORTH, COLLEGE ROAD, 2nd Floor, H/No E-43, CHAMPHAI, CHAMPHAI","[{""NIC5DigitId"":""73100"",""Description"":""Advertising""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,20/10/2021,B LALMUANKIMA,"H/NO 221, VENGTHAR, NEAR PCI, H/NO 221, SESIH, CHAMPHAI","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,09/12/2021,H THANGLIANMANG,"HNO 17, DAWRKAIKAWN, KAHRAWT, HNO 17, CHAMPHAI, CHAMPHAI","[{""NIC5DigitId"":""46909"",""Description"":""Other non-specialised wholesale trade n.e.c.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,08/03/2022,Sapi variety store,"Venglai, R.Kapchhunga, Venglai, Venglai, Champhai, Champhai","[{""NIC5DigitId"":""47510"",""Description"":""Retail sale of textiles in specialized stores""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,16/06/2022,Samuel Bakery,"H. No. - 191, Samuel Bakery, DFO Office Road, H. No. - 191, Champhai, Champhai","[{""NIC5DigitId"":""10712"",""Description"":""Manufacture of biscuits, cakes, pastries, rusks etc.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,21/01/2022,SENSIAR ARTH,"VENGTHLANG NORTH, JONA BUILDING, DC ROAD, VENGTHLANG NORTH, VENGTHLANG NORTH, CHAMPHAI","[{""NIC5DigitId"":""08913"",""Description"":""Mining of earth colours (ochre including red oxide).""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,21/01/2022,MAPUII STORE,"VENGTHLANG NORTH, F PAHLIRA BUILDING, DC ROAD, VENGTHLANG NORTH, VENGTHLANG NORTH, CHAMPHAI","[{""NIC5DigitId"":""23941"",""Description"":""Manufacture of clinkers and cement""},{""NIC5DigitId"":""08106"",""Description"":""Operation of sand or gravel pits, basalt \/ porphyry, clay (ordinary), crushing and breaking of stone for use as a flux or raw material in lime or cement, manufacture or as building material, road metal or ballast and other materials for construction""},{""NIC5DigitId"":""13123"",""Description"":""Weaving, manufacture of wool and wool mixture fabrics.""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,17/01/2022,Ralte collection,"H 85, H section, Venglai, H 85, Champhai, Champhai","[{""NIC5DigitId"":""14101"",""Description"":""Manufacture of all types of textile garments and clothing accessories""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,03/12/2022,MAMI HARDWARE STORE,"NA, NA, BETHEL KAWN, NA, NEAR BETHEL TRAFFIC POINT, CHAMPHAI","[{""NIC5DigitId"":""47522"",""Description"":""Retail sale of hardware including paints, varnishes and lacquers and do - it - yourself materials and equipments""}]"
15,MIZORAM,262,CHAMPHAI,796321.0,17/03/2022,LALLIANPUII TAILORING,"A-47, LALTHANGVULA, VENGTHLANG, A-47, CHAMPHAI, CHAMPHAI","[{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
